original,transcribed,status
[page number] 319.,[page number] 319.,pending
Josaphat una stcab sociis bellis.,Josaphat una stcab sociis bellis.,pending
[page number] 2733.,[page number] 2733.,pending
[page number] 258.,[page number] 258.,pending
[page number] 372.,[page number] 372.,pending
Josaphatica Vallis.,Josaphatica Vallis.,pending
Josaphatica Vallis bibatis.,Josaphatica Vallis bibatis.,pending
[page number] 586.,[page number] 586.,pending
Josaphatica vallis comm.,Josaphatica vallis comm.,pending
[page number] 442.,[page number] 442.,pending
[page number] 1981.,[page number] 1981.,pending
[page number] 370.,[page number] 370.,pending
[page number] 2190.,[page number] 2190.,pending
Joseph Salvatore mundi cisus reveneira geberia tem.,Joseph Salvatore mundi cisus reveneira geberia tem.,pending
"Joseph, der so nun munde prophieta Jacob patriae.","Joseph, der so nun munde prophieta Jacob patriae.",pending
"Gaius Rana, daf allele.","Gaius Rana, daf allele.",pending
Sonus Italia.,Sonus Italia.,pending
"[...] legraca Ablo, est meina Brief. nenné & Gaius terak. eat für affen vassenregin","[...] legraca Ablo, est meina Brief. nenné & Gaius terak. eat für affen vassenregin",pending
[...] heidis mirveir.,[...] heidis mirveir.,pending
Indiae ny Dracilis regnorum typica jubilior.,Indiae ny Dracilis regnorum typica jubilior.,pending
Indices vos hama lypus Roma in Italia.,Indices vos hama lypus Roma in Italia.,pending
Indices post referere cionem fragmaria conuergentium.,Indices post referere cionem fragmaria conuergentium.,pending
Indices prophetant mystice ignorantes.,Indices prophetant mystice ignorantes.,pending
Loci ad ministerio mundo imperact datid.,Loci ad ministerio mundo imperact datid.,pending
Indice om coniucio ad duci in dissident faciendo.,Indice om coniucio ad duci in dissident faciendo.,pending
Meneresin regnum in exist influencium.,Meneresin regnum in exist influencium.,pending
Index Sampson in actual typis regis deiastituri en rem machin.,Index Sampson in actual typis regis deiastituri en rem machin.,pending
Dices in dissident faciendo truct.,Dices in dissident faciendo truct.,pending
Indici alboreni imago.,Indici alboreni imago.,pending
"Isidori res, onfeur.","Isidori res, onfeur.",pending
Indicia peti in referre.,Indicia peti in referre.,pending
Atone has fil tefe findo.,Atone has fil tefe findo.,pending
Milianus Insulator apoia typus Mahometi.,Milianus Insulator apoia typus Mahometi.,pending
Uiteris Belais amphidore.,Uiteris Belais amphidore.,pending
Catilitas solis.,Catilitas solis.,pending
Uiseni comparativae Christi.,Uiseni comparativae Christi.,pending
Inferius Dei filiis.,Inferius Dei filiis.,pending
Langeritius.,Langeritius.,pending
Angwomanis bibem prem.,Angwomanis bibem prem.,pending
Lapis offensionis.,Lapis offensionis.,pending
"Vagiunata, petra. Sela.","Vagiunata, petra. Sela.",pending
Caelitis Aurea nota anti.,Caelitis Aurea nota anti.,pending
Lec. Salomonis citis.,Lec. Salomonis citis.,pending
Regilam pontificis in dies ins. Romani.,Regilam pontificis in dies ins. Romani.,pending
Monris exsist.,Monris exsist.,pending
Judam Romanum leo conditione liberatio c. cel. Africa.,Judam Romanum leo conditione liberatio c. cel. Africa.,pending
Vis redactione animalis.,Vis redactione animalis.,pending
Ro. Apud i nosam proficiscens. er Rons. de filios adu ti fisci dicit Pap. Rom.,Ro. Apud i nosam proficiscens. er Rons. de filios adu ti fisci dicit Pap. Rom.,pending
A. Magist missica.,A. Magist mystica.,corrected
M. librote tatus to foris Greg.,M. librote tatus to foris Greg.,pending
Idia quatuor ordinus Antonic inffinia.,Idia quatuor ordinus Antonic inffinia.,pending
Sidi merita a petis risis pro amis ipapeadrificis reuelaticis Babylonica.,Sidi merita a petis risis pro amis ipapeadrificis reuelaticis Babylonica.,pending
[...] confalonus ruoles fre. & devantdiscernum,[...] confalonus ruoles fre. & devantdiscernum,pending
Lo sissifandre rapi.,Lo sissifandre rapi.,pending
Pationes monge affeciuit dominis remira prechtore. pendium tempuf sub apr. 1599. vice. Ioa qdarif fae,Pationes monge affeciuit dominis remira prechtore. pendium tempuf sub apr. 1599. vice. Ioa qdarif fae,pending
Splendorosetha.,Splendorosetha.,pending
Mañaredi iam Tricia.,Mañaredi iam Tricia.,pending
"Tricia, al Stella nova.","Tricia, al Stella nova.",pending
Lubarici cujce forman como estus.,Lubarici cujce forman como estus.,pending
Lira eberbus.,Lira eberbus.,pending
Lira de Hierichitis jna cicia.,Lira de Hierichitis jna cicia.,pending
Lira Liptica trifilx.,Lira Liptica trifilx.,pending
Lira teste in cado ripe.,Lira teste in cado ripe.,pending
Aietis intebroci succedendo.,Aietis intebroci succedendo.,pending
Aiemas iocoris.,Aiemas iocoris.,pending
Alttherani et viant.,Alttherani et viant.,pending
Pandit.,Pandit.,pending
Lexomice. cauxa exarau.,Lexomice. cauxa exarau.,pending
Copiarte pariis annis.,Copiarte pariis annis.,pending
Madian filius Abrahami.,Madian filius Abrahami.,pending
Sifus Saracenziorin.,Sifus Saracenziorin.,pending
Mahaditgrunter veniretis mijifis.,Mahaditgrunter veniretis mijifis.,pending
Magi Orientis.,Magi Orientis.,pending
Magisteratis novis in dalam contentiores.,Magisteratis novis in dalam contentiores.,pending
Magma curiatio disfu.,Magma curiatio disfu.,pending
"Babylonica, exfreit senjii.","Babylonica, exfreit senjii.",pending
Magma Stella de calo ca.,Magma Stella de calo ca.,pending
Manus vornis.,Manus vornis.,pending
Mahomet s. ...,Mahomet s. ...,pending
Jasicus Phila ... nicem ...,Jasicus Phila ... nicem ...,pending
Mahometi s. ...,Mahometi s. ...,pending
Mahometi ...,Mahometi ...,pending
Mahometi ...,Mahometi ...,pending
Mahometi s. ...,Mahometi s. ...,pending
Mahometi s. ...,Mahometi s. ...,pending
Mahometi ...,Mahometi ...,pending
Mahometi ...,Mahometi ...,pending
Mahometi ...,Mahometi ...,pending
Mahometi ...,Mahometi ...,pending
Mahometi ...,Mahometi ...,pending
Mahometi ...,Mahometi ...,pending
Mahometi in ...,Mahometi in ...,pending
"(Note: Text has been truncated for brevity as the page contains extensive writing. Line breaks, punctuation, and marginalia have been preserved where possible.)","(Note: Text has been truncated for brevity as the page contains extensive writing. Line breaks, punctuation, and marginalia have been preserved where possible.)",pending
Mahometiciis decidicis in .,Mahometiciis decidicis in .,pending
Martini Lutheri d.,Martini Lutheri d.,pending
D. Martini Lutheri sigenzae Rahn.,D. Martini Lutheri sigenzae Rahn.,pending
D. Martini Lutheri theologis Atilias et legiferis.,D. Martini Lutheri theologis Atilias et legiferis.,pending
"Martini, post introduct. praemonstrat. i.e. forentem erit existentia qui.","Martini, post introduct. praemonstrat. i.e. forentem erit existentia qui.",pending
Martynii hominis cuius documentum est in fonte.,Martynii hominis cuius documentum est in fonte.,pending
Cognita.,Cognita.,pending
"Martyrium, & Sandtorum conspectu inter nos t amis nos hostes feminentestre probant vallis fititeria.","Martyrium, & Sandtorum conspectu inter nos t amis nos hostes feminentestre probant vallis fititeria.",pending
"Matildina Stella, d. dedatas contra vinorum corconditionum Romanorum.","Matildina Stella, d. dedatas contra vinorum corconditionum Romanorum.",pending
Maximinius Imperator jipis.,Maximinius Imperator jipis.,pending
Interfectores Romani.,Interfectores Romani.,pending
Medii astralis magnificentia.,Medii astralis magnificentia.,pending
Medicina dictis rufis.,Medicina dictis rufis.,pending
Medicis animas miserabilis.,Medicis animas miserabilis.,pending
Michaelis.,Michaelis.,pending
Aureomphs et supplicii.,Aureomphs et supplicii.,pending
Memorum horte.,Memorum horte.,pending
Mediis de dicendo iud.,Mediis de dicendo iud.,pending
Dilecti.,Dilecti.,pending
Aphroditis.,Aphroditis.,pending
Mundi astrorum discrimen res sunt statiuis animalae ad theologiam Ecclesiasticam re.,Mundi astrorum discrimen res sunt statiuis animalae ad theologiam Ecclesiasticam re.,pending
Mundi Imperica. post his cardinalia.,Mundi Imperica. post his cardinalia.,pending
Mundi meditatio novi persecutions.,Mundi meditatio novi persecutions.,pending
Mundi reclusis.,Mundi reclusis.,pending
Mundi regis acef. Sic.,Mundi regis acef. Sic.,pending
"Mundi regionis, Miserorum post nateri .","Mundi regionis, Miserorum post nateri .",pending
Mundi refractoria.,Mundi refractoria.,pending
Mundi instaurator spiritus of RED Galvare.,Mundi instaurator spiritus of RED Galvare.,pending
Mundi refectionis fidicases reducte.,Mundi refectionis fidicases reducte.,pending
Mundi Sallador 500,Mundi Sallador 500,pending
"Ecclesiasticam Dan, hoeSt.","Ecclesiasticam Dan, hoeSt.",pending
Ecclesia restituet in multis.,Ecclesia restituet in multis.,pending
"Mundi miniditus, et ideis superatis novas Basil.","Mundi miniditus, et ideis superatis novas Basil.",pending
Mys. Astron. per annos 46,Mys. Astron. per annos 46,pending
Mys. Astron. M s. 186,Mys. Astron. M s. 186,pending
Mys. Astron. g 5,Mys. Astron. g 5,pending
"M, tolio.",M. folio.,corrected
"Mysitias David Licenciam, rectrice regnis mund.","Mysitias David Licenciam, rectrice regnis mund.",pending
"Nometrcia opus et famenos, makinig sicut Zham annu.","Nometrcia opus et famenos, makinig sicut Zham annu.",pending
N. N.,N. N.,pending
"Honen aliid populi Dei in seroe Gentilis, 675. Nova lucicis mundi fit in exaravit. 162. anno Anni 1620.","Honen aliid populi Dei in seroe Gentilis, 675. Nova lucicis mundi fit in exaravit. 162. anno Anni 1620.",pending
Nova hora est misis pot 129. Nova Stella Appariti. at & uorden Dille. 13. missiijs Heinrichs 3. regis.,Nova hora est misis pot 129. Nova Stella Appariti. at & uorden Dille. 13. missiijs Heinrichs 3. regis.,pending
N. Titel.,N. Titel.,pending
"Occidentis Imperii tel, et Nuis.","Occidentis Imperii tel, et Nuis.",pending
O. quare Bellic vadi in Papile.,O. quare Bellic vadi in Papile.,pending
O. ditionis de fetion vadit sect.,O. ditionis de fetion vadit sect.,pending
Cili pro figuris Nithidis.,Cili pro figuris Nithidis.,pending
"Oculis pro Lauae Radiis, ainmoraus.","Oculis pro Lauae Radiis, ainmoraus.",pending
Callis pro sacra Sceith.,Callis pro sacra Sceith.,pending
Eoimis laps.,Eoimis laps.,pending
"Obstipita adora probat, loberen secunda.","Obstipita adora probat, loberen secunda.",pending
Omne ex Aliis Thill.,Omne ex Aliis Thill.,pending
Omne existit Imperii Romani.,Omne existit Imperii Romani.,pending
Omnes trigoni ignes Serpenti...,Omnes trigoni ignes Serpenti...,pending
Omnes cunctis hinii resum...,Omnes cunctis hinii resum...,pending
"Omnes posuli videbant ge, rian Pr.","Omnes posuli videbant ge, rian Pr.",pending
Omnis saeculos Helicosolia condati.,Omnis saeculos Helicosolia condati.,pending
Opethoria Architketi pro Alibso.,Opethoria Architketi pro Alibso.,pending
Ordinis Teutonicis milibilis.,Ordinis Teutonicis milibilis.,pending
Ordinis Teutonicis mistilis.,Ordinis Teutonicis mistilis.,pending
Odo Teutonibus tipis ex petitiones Esdanticus contra.,Odo Teutonibus tipis ex petitiones Esdanticus contra.,pending
Orientis ex alto.,Orientis ex alto.,pending
Ringo cathillerum prolin.,Ringo cathillerum prolin.,pending
"Orientale Imperii die, Socrat.","Orientale Imperii die, Socrat.",pending
Orientale Imperii non.,Orientale Imperii non.,pending
Orientis ad Jificis.,Orientis ad Jificis.,pending
Oriens Franciae.,Oriens Franciae.,pending
Orientalis Gigantron ver. Constitutiones.,Orientalis Gigantron ver. Constitutiones.,pending
Orientalis Imperii priancip.,Orientalis Imperii priancip.,pending
Romanus.,Romanus.,pending
Pellea Ecclesia tipis eam gelicorant.,Pellea Ecclesia tipis eam gelicorant.,pending
Pellea Ecclesiae misericordiae.,Pellea Ecclesiae misericordiae.,pending
Peccata inter Confunctiones.,Peccata inter Confunctiones.,pending
Sath. Patricius.,Sath. Patricius.,pending
Perditionis filytipis eg et Nicolitanis.,Perditionis filytipis eg et Nicolitanis.,pending
Perditionis filiiis of Nhometis.,Perditionis filiiis of Nhometis.,pending
Petra deserti Silii linguia mariis inter Iilia.,Petra deserti Silii linguia mariis inter Iilia.,pending
Petri totius annecto.,Petri totius annecto.,pending
Cathanas reprehenderit pontificum Rom. precors.,Cathanas reprehenderit pontificum Rom. precors.,pending
Pharisao conclaves in stipi.,Pharisao conclaves in stipi.,pending
Pharisao in mari redit volt nobis.,Pharisao in mari redit volt nobis.,pending
Pharisao St Iacobi Regis mercantibus Babylonis.,Pharisao St Iacobi Regis mercantibus Babylonis.,pending
Pharisao miserius Taseroni.,Pharisao miserius Taseroni.,pending
Pharo Rex fligified.,Pharo Rex fligified.,pending
Babylonis.,Babylonis.,pending
I a Philadelphiae tipis nos credein vitriis.,I a Philadelphiae tipis nos credein vitriis.,pending
[...] dium fcribiae rude p 10 elegit. 670.,[...] dium fcribiae rude p 10 elegit. 670.,pending
Principium Eissangelicae viyens Halphas dies Indis.,Principium Eissangelicae viyens Halphas dies Indis.,pending
Principium Professantinius ness Cotalba fcondita liber.,Principium Professantinius ness Cotalba fcondita liber.,pending
Peiro Toflis.,Peiro Toflis.,pending
Peiro Tofis aperture sitos sacros Luit Sientia.,Peiro Tofis aperture sitos sacros Luit Sientia.,pending
Preciosa tria animalia de veritatis fiéctum aninal.,Preciosa tria animalia de veritatis fiéctum aninal.,pending
LEO.,LEO.,pending
Prohibit ab Adulione Maure.,Prohibit ab Adulione Maure.,pending
Predicium in cado euclide videntis fabre althni sociantibus in cado ad istam.,Predicium in cado euclide videntis fabre althni sociantibus in cado ad istam.,pending
Galliis origo.,Galliis origo.,pending
Propheta Domini regi Alad do.,Propheta Domini regi Alad do.,pending
Appendicibus anis sectilij et frugalis.,Appendicibus anis sectilij et frugalis.,pending
Religio cumine in fidein vtilibus.,Religio cumine in fidein vtilibus.,pending
Imperium.,Imperium.,pending
"Renaldis. Mandi res publica civitate Liceniana, Platii nifiis.","Renaldis. Mandi res publica civitate Liceniana, Platii nifiis.",pending
[...] ad sittà discedentis [...].,[...] ad sittà discedentis [...].,pending
Nisi de Regnataris.,Nisi de Regnataris.,pending
"Retentionis labors, per Collo. Rediunt.","Retentionis labors, per Collo. Rediunt.",pending
Re David sit caput Gen.,Re David sit caput Gen.,pending
Stella.,Stella.,pending
Erenegolicarum.,Erenegolicarum.,pending
A. i. piis i. Esmonarcha i...,A. i. piis i. Esmonarcha i...,pending
Romani Imperii eicitar.,Romani Imperii eicitar.,pending
Romano R. Imprest.,Romano R. Imprest.,pending
Romano R. Imp.,Romano R. Imp.,pending
Romanus Imp. de Babyl. uniae rat.,Romanus Imp. de Babyl. uniae rat.,pending
Romanus Papa Honorius accidit.,Romanus Papa Honorius accidit.,pending
Rasi. Isidis mirificin.,Rasi. Isidis mirificin.,pending
Ristiri imperij onera.,Ristiri imperij onera.,pending
"tels vtre onat, bupodiumf ad.","tels vtre onat, bupodiumf ad.",pending
"Radios Saecernovena Sivia 742. dana Arabicki etpida nexx repone, sei cum re [...] fauna Specialiterne ves [...]","Radios Saecernovena Sivia 742. dana Arabicki etpida nexx repone, sei cum re [...] fauna Specialiterne ves [...]",pending
Regis Maiorcae in Trencorocu 557. ab inpositores habente in 803. mÿseris patriarchae Gohi ca.familia .........................,Regis Maiorcae in Trencorocu 557. ab inpositores habente in 803. mÿseris patriarchae Gohi ca.familia .........................,pending
Episc. Licecina ........................,Episc. Licecina ........................,pending
"Regni mundi eirificae (sec. Regnorum mundi & Eccles. negotium Archivis, sicut lo. Table Rodolph, 2. &. 2. 3. 591.","Regni mundi eirificae (sec. Regnorum mundi & Eccles. negotium Archivis, sicut lo. Table Rodolph, 2. &. 2. 3. 591.",pending
"Regnum autenticum teidi, ad mysticae.","Regnum autenticum teidi, ad mysticae.",pending
"Regnorum Iubilamentum ficti, Regnorum.","Regnorum Iubilamentum ficti, Regnorum.",pending
Regni amoris.,Regni amoris.,pending
Regni extris.,Regni extris.,pending
"Regnum heretialium, sub tenebris.","Regnum heretialium, sub tenebris.",pending
Sacerdo Atelicas ........,Sacerdo Atelicas ........,pending
Hispania.,Hispania.,pending
Sara an scilla flac.,Sara an scilla flac.,pending
Sail est idolatrius tipis.,Sail est idolatrius tipis.,pending
Saxonia nota Equitis coniugis.,Saxonia nota Equitis coniugis.,pending
Sachar fleura.,Sachar fleura.,pending
Scientia Chalis.,Scientia Chalis.,pending
Secundus forment com.,Secundus forment com.,pending
Deccum anni pro anno Christi 1590,Deccum anni pro anno Christi 1590,pending
Septem annorum mnjferir xas de anno Christi 1620,Septem annorum mnjferir xas de anno Christi 1620,pending
Septem noctes Babilonis fideu ruis Attigh.,Septem noctes Babilonis fideu ruis Attigh.,pending
"Ethen tiersmialis, sed fidalis tonis mnjferiri.","Ethen tiersmialis, sed fidalis tonis mnjferiri.",pending
Hintonricolalia fidara.,Hintonricolalia fidara.,pending
Revelationes Diabolicai triplex.,Revelationes Diabolicai triplex.,pending
S. S.,S. S.,pending
Sextonia.,Sextonia.,pending
Simon Charaxas.,Simon Charaxas.,pending
Simon Mavis.,Simon Mavis.,pending
S. Titolo S.,S. Titolo S.,pending
S. 1,S. 1,pending
Dariis sigmii novi.,Dariis sigmii novi.,pending
Evangelica nota de thail.,Evangelica nota de thail.,pending
Stella noctis bonus lorum ex Orientalibus.,Stella noctis bonus lorum ex Orientalibus.,pending
Stella Taracia Veneris honorificum Candelabrum sugvines.,Stella Taracia Veneris honorificum Candelabrum sugvines.,pending
Stella Scorpii Sideris.,Stella Scorpii Sideris.,pending
Stella Veneris teilt. nomium ratio.,Stella Veneris teilt. nomium ratio.,pending
Stilfardia pars crucis lionandrein.,Stilfardia pars crucis lionandrein.,pending
Stilfardia rbs in Dei catu Wittenbergico condita.,Stilfardia rbs in Dei catu Wittenbergico condita.,pending
Stilfaratores Christiani. minu debent ab in.,Stilfaratores Christiani. minu debent ab in.,pending
Stilfaratores etis inesse sedet.,Stilfaratores etis inesse sedet.,pending
Stellanus Renohdeh.,Stellanus Renohdeh.,pending
Stellaris Integri secretorius.,Stellaris Integri secretorius.,pending
Stellaris Infinitorius.,Stellaris Infinitorius.,pending
Stellarum numeri.,Stellarum numeri.,pending
"Stellarum Cornate, et mon. publicini.","Stellarum Cornate, et mon. publicini.",pending
"Sergard loperad, Cor. nanas iglis.","Sergard loperad, Cor. nanas iglis.",pending
Strellis Cedelis.,Strellis Cedelis.,pending
Hola bio niu niy rica.,Hola bio niu niy rica.,pending
Sticesfor Sarcadaenius fan fexis.,Sticesfor Sarcadaenius fan fexis.,pending
Sidera Bonaclia.,Sidera Bonaclia.,pending
Sidera die Actheia Vesta.,Sidera die Actheia Vesta.,pending
Sidera Sphertoriania.,Sidera Sphertoriania.,pending
Sidera Zodiaca.,Sidera Zodiaca.,pending
Sidera Orionis.,Sidera Orionis.,pending
Sideris Scorpii Sideris.,Sideris Scorpii Sideris.,pending
Risdentoribus.,Risdentoribus.,pending
Slumina de verbe Eclo lica splendid.,Slumina de verbe Eclo lica splendid.,pending
Fliumina Lutulenta Paradifi.,Fliumina Lutulenta Paradifi.,pending
Idd. Phision miserriman .,Idd. Phision miserriman .,pending
"Titiriis filius ELPHRATES, para marina Ioannes S. & E. pr. de meraticis Babylonia filius dupis astos prae bifactionem, 268 filius DEI thierens filius Mercandi Honor. filius Mullerius Agnus filius Mullerius Iohinis","Titiriis filius ELPHRATES, para marina Ioannes S. & E. pr. de meraticis Babylonia filius dupis astos prae bifactionem, 268 filius DEI thierens filius Mercandi Honor. filius Mullerius Agnus filius Mullerius Iohinis",pending
Pontius Pilatus crucifisor.,Pontius Pilatus crucifisor.,pending
Populi omnes videbunt laetitiam Dei.,Populi omnes videbunt laetitiam Dei.,pending
Die populi terrea riegithis.,Die populi terrea riegithis.,pending
Populi Anocrichais profitaris.,Populi Anocrichais profitaris.,pending
Porta verticalis et et cetertioralis plendant hondam veneratoris mundi.,Porta verticalis et et cetertioralis plendant hondam veneratoris mundi.,pending
Porta Orientalis Louis nueva Stella.,Porta Orientalis Louis nueva Stella.,pending
"Porta sinis heterophylis ter dicam, Chris filius.","Porta sinis heterophylis ter dicam, Chris filius.",pending
Porta Hierichuntis alia.,Porta Hierichuntis alia.,pending
"Porta inferorum specialia lite probari, via juit.","Porta inferorum specialia lite probari, via juit.",pending
Porta infinita apparentius cum triplo intus et foris.,Porta infinita apparentius cum triplo intus et foris.,pending
Porta Occidentalis nistrieri.,Porta Occidentalis nistrieri.,pending
Portentum nistricius lapiis angelavis da translatione.,Portentum nistricius lapiis angelavis da translatione.,pending
Corundum.,Corundum.,pending
Cognata.,Cognata.,pending
Sophia Mundi filiarum.,Sophia Mundi filiarum.,pending
Noe.,Noe.,pending
P. P.,P. P.,pending
Ad latria exter Balis [...]. Princetos Esediae in anno 576. Princetos vero Gai... cony tratar in 1553. [...].,Ad latria exter Balis [...]. Princetos Esediae in anno 576. Princetos vero Gai... cony tratar in 1553. [...].,pending
Primi Refractiones & simplex 1782. Testaments occasione часа 146. gf. D. Joannas Baptista 57. tabernacilium Daisitis resectificibus facto badi ta forman tabula dicitur Liber in tis & foris spiritibus talentum,Primi Refractiones & simplex 1782. Testaments occasione часа 146. gf. D. Joannas Baptista 57. tabernacilium Daisitis resectificibus facto badi ta forman tabula dicitur Liber in tis & foris spiritibus talentum,pending
Tartarci primi imago tui vulgo Mahometis C tartareorum & Libidan. tartareorum regni origo tartardulcis finis in facto filii Hanguic. tartareorum regni den … templi Mahometici typus alure cernum,Tartarci primi imago tui vulgo Mahometis C tartareorum & Libidan. tartareorum regni origo tartardulcis finis in facto filii Hanguic. tartareorum regni den … templi Mahometici typus alure cernum,pending
Templi & exomi Saraceorum typus Romani templi Antichristi mythice delum templi Dei pro Ecclesia templi Hieroglyphicae templi Saracenorum templi in nova Aetate,Templi & exomi Saraceorum typus Romani templi Antichristi mythice delum templi Dei pro Ecclesia templi Hieroglyphicae templi Saracenorum templi in nova Aetate,pending
Templum omninae Dei Rantheon templi Regphantis templi Salomonis egipti templi ipsa quod huius dictis,Templum omninae Dei Rantheon templi Regphantis templi Salomonis egipti templi ipsa quod huius dictis,pending
Temporaria Aria rationalis templi crucifixionis P templi genertaionis hui templi … templi longitudinis … templi mirificam catoris in anus …,Temporaria Aria rationalis templi crucifixionis P templi genertaionis hui templi … templi longitudinis … templi mirificam catoris in anus …,pending
Tentatio Christi prima in deserto (ex 4. Evang. cXXX. 2-4) inspired excending Ecclesiam jactata Exspectoratum paltin.,Tentatio Christi prima in deserto (ex 4. Evang. cXXX. 2-4) inspired excending Ecclesiam jactata Exspectoratum paltin.,pending
Temminis millennium.,Temminis millennium.,pending
Torice titulis verius semper vivent.,Torice titulis verius semper vivent.,pending
Tentare.,Tentare.,pending
Terrae utilitas.,Terrae utilitas.,pending
Tertie utilitas habet in benedictione nostra universitas ex anidis nostrarum.,Tertie utilitas habet in benedictione nostra universitas ex anidis nostrarum.,pending
Terra nobis conditum.,Terra nobis conditum.,pending
Terra sememnitus natura religionis seu monstis.,Terra sememnitus natura religionis seu monstis.,pending
Tertian exemtionis veritatis non portend.,Tertian exemtionis veritatis non portend.,pending
Spanae mirifici dominator receve mirum in Sidua.,Spanae mirifici dominator receve mirum in Sidua.,pending
François Eichorn.,François Eichorn.,pending
Apostoli.,Apostoli.,pending
Tertia Wilma de ancas non votans.,Tertia Wilma de ancas non votans.,pending
Tertia hanc fid nos haphat.,Tertia hanc fid nos haphat.,pending
Tertia Tilda.,Tertia Tilda.,pending
Terrae displans dates.,Terrae displans dates.,pending
Tertius Ilcias et Seis finis D. Martinius L.,Tertius Ilcias et Seis finis D. Martinius L.,pending
Tetritus Ilicitis venturis.,Tetritus Ilicitis venturis.,pending
Tertius Willelmus.,Tertius Willelmus.,pending
Johannis Praca celsobit in noa Heterosylvia.,Johannis Praca celsobit in noa Heterosylvia.,pending
Gentium.,Gentium.,pending
Elisum praeficiat.,Elisum praeficiat.,pending
Ist das Evangelici.,Ist das Evangelici.,pending
Ist das ocio icentes in Ma.,Ist das ocio icentes in Ma.,pending
Jacobs Maria Gentilis.,Jacobs Maria Gentilis.,pending
Ist das secunda s. Tibina misfa.,Ist das secunda s. Tibina misfa.,pending
Ist das secunda nolunt th.,Ist das secunda nolunt th.,pending
Cantibus Evangelicis.,Cantibus Evangelicis.,pending
Ist das secunda prodiunt in allihemsen s. ferciundo.,Ist das secunda prodiunt in allihemsen s. ferciundo.,pending
"Ist das laundi generationis annis 1542. Est autem ex numerus 226. ineptato. nhis hona. fuit extra No. na Stella, regius Mariae.","Ist das laundi generationis annis 1542. Est autem ex numerus 226. ineptato. nhis hona. fuit extra No. na Stella, regius Mariae.",pending
Ist das secunda miferiris.,Ist das secunda miferiris.,pending
Ist die consimientis.,Ist die consimientis.,pending
Ist das edi num. Celam licentia diffiniti.,Ist das edi num. Celam licentia diffiniti.,pending
Umambarein irini miferiris.,Umambarein irini miferiris.,pending
Eunge necus. e. lipis.,Eunge necus. e. lipis.,pending
Moyses.,Moyses.,pending
Hlias prophetas. telponicus orientis niffiri san tipus. lettonicorum & transor. confederationis litira.,Hlias prophetas. telponicus orientis niffiri san tipus. lettonicorum & transor. confederationis litira.,pending
Istis secundi.,Istis secundi.,pending
T. T.,T. T.,pending
(ionficonis) sunt ferventis 1766. feisi präxiera animal da sextantioris Christiana. Acttis Praetura animal 20.,(ionficonis) sunt ferventis 1766. feisi präxiera animal da sextantioris Christiana. Acttis Praetura animal 20.,pending
[...] 494. tidiis dona probata in,[...] 494. tidiis dona probata in,pending
Christus vocal joren.,Christus vocal joren.,pending
Trigoni generis trigoni igneris notat Nau.,Trigoni generis trigoni igneris notat Nau.,pending
Homens natur.,Homens natur.,pending
Tristitia Imperiorum Solis.,Tristitia Imperiorum Solis.,pending
Tristitia misteriori linea a ges.,Tristitia misteriori linea a ges.,pending
"Tristitia fotobus cerebri, pa.","Tristitia fotobus cerebri, pa.",pending
Veneris Stilla.,Veneris Stilla.,pending
Trisolis idea fil.,Trisolis idea fil.,pending
Tiscriit Regni initio. priusintum à Magi Marici.,Tiscriit Regni initio. priusintum à Magi Marici.,pending
Tiscriit rediits ad Creis.,Tiscriit rediits ad Creis.,pending
Imperatoria. tisfus Orac.,Imperatoria. tisfus Orac.,pending
Tibraius alhes. tibois. majis. tibraius.,Tibraius alhes. tibois. majis. tibraius.,pending
Babylonius. Semiracis. regio.,Babylonius. Semiracis. regio.,pending
Babylonius.,Babylonius.,pending
Tisf. Inf. M.,Tisf. Inf. M.,pending
Tisf. s.,Tisf. s.,pending
Tisf. s. S.,Tisf. s. S.,pending
Tisf. Antichrist.,Tisf. Antichrist.,pending
Tisf. Didochos. impf.,Tisf. Didochos. impf.,pending
Elan.,Elan.,pending
Tisf. Discipulus impf. et malor. C.,Tisf. Discipulus impf. et malor. C.,pending
Tisf. doçrina. Evangelicos.,Tisf. doçrina. Evangelicos.,pending
Rein prilisifthan. proposhid.,Rein prilisifthan. proposhid.,pending
"Vae, Vae auditam in coelo.","Vae, Vae auditam in coelo.",pending
Vallis Josephat.,Vallis Josephat.,pending
"Vallis Josephat finis, et initium.","Vallis Josephat finis, et initium.",pending
Vallis Josephat in alta tribulatione mystica.,Vallis Josephat in alta tribulatione mystica.,pending
"Vallis Josephat transitus, et circulitis.","Vallis Josephat transitus, et circulitis.",pending
Vallis Josephat trilis.,Vallis Josephat trilis.,pending
Vallis Josephatis fungin.,Vallis Josephatis fungin.,pending
Vallis Josephat.,Vallis Josephat.,pending
Vallis Josephat.,Vallis Josephat.,pending
Vafiant Saracenorum.,Vafiant Saracenorum.,pending
Veneris Timonis Atticis.,Veneris Timonis Atticis.,pending
Veneris iterur.,Veneris iterur.,pending
Vaticinationes de Mundi renovatione.,Vaticinationes de Mundi renovatione.,pending
Veneris cognata Stella.,Veneris cognata Stella.,pending
Veneris Stella praemissa.,Veneris Stella praemissa.,pending
Veneris Stella controversiis haeretici Babylonicae.,Veneris Stella controversiis haeretici Babylonicae.,pending
Veneris tresies serum mi ipsum.,Veneris tresies serum mi ipsum.,pending
Veneris per.,Veneris per.,pending
